    stratonode0| Ambient Temp     | 23 degrees C      | ok
    stratonode0| Inlet Temp       | 22 degrees C      | ok
    stratonode0| Temp             | 62 degrees C      | ok
    stratonode0| Temp             | 71 degrees C      | ok
    stratonode2| Ambient Temp     | 23 degrees C      | ok
    stratonode2| Inlet Temp       | 22 degrees C      | ok
    stratonode2| Temp             | 52 degrees C      | ok
    stratonode2| Temp             | 66 degrees C      | ok
    stratonode3| Ambient Temp     | 23 degrees C      | ok
    stratonode3| Inlet Temp       | 22 degrees C      | ok
    stratonode3| Temp             | 59 degrees C      | ok
    stratonode3| Temp             | 67 degrees C      | ok
    stratonode4| Ambient Temp     | 23 degrees C      | ok
    stratonode4| Inlet Temp       | 22 degrees C      | ok
    stratonode4| Temp             | 50 degrees C      | ok
    stratonode4| Temp             | 53 degrees C      | ok
